"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет передачу правильных параметров","1","test_is_created_calls_repository_with_correct_params","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceLondon","test_advert_service_london","",""
"Позитивный тест частичного обновления","1","test_partial_update_advert_success","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест создания объявления","5","test_create_advert_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Тест поиска только по ключевому слову","1","test_get_adverts_by_category_and_keyword_only_keyword","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Тест проверяет передачу правильного ID в репозиторий","1","test_get_advert_calls_repository_with_correct_id","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceLondon","test_advert_service_london","",""
"Позитивный тест получения объявлений пользователя","4","test_get_advert_by_user_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Тест проверяет преобразование DTO в словарь","2","test_partial_update_converts_dto_to_dict","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceLondon","test_advert_service_london","",""
"Тест проверяет передачу правильного ID в builder","1","test_get_by_id_calls_builder_with_correct_id","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Позитивный тест поиска по категории и ключевому слову (оба параметра)","1","test_get_adverts_by_category_and_keyword_both","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест получения объявлений пользователя","1","test_get_advert_by_user","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Тест проверяет вызов builder с правильным объявлением","2","test_create_calls_builder_with_correct_advert","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Позитивный тест получения всех объявлений","0","test_get_all_adverts","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Тест проверяет, что перед удалением проверяется существование","1","test_delete_advert_checks_existence_first","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceLondon","test_advert_service_london","",""
"Позитивный тест проверки создания объявления пользователем","4","test_is_created_true","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест проверки создания объявления пользователем","1","test_is_created_true","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Тест проверяет однократный вызов репозитория","1","test_get_all_adverts_calls_repository_once","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceLondon","test_advert_service_london","",""
"Позитивный тест создания объявления","1","test_create_advert_success","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Тест получения списка всех объявлений.","21","test_get_all_adverts","tests.integration","2026-02-14","passed","2026-02-14","TestAdvertsAPI","test_adv","",""
"Позитивный тест получения объявления по ID","1","test_get_advert_success","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест получения всех объявлений","5","test_get_all_adverts_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест удаления объявления","5","test_delete_advert_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Негативный тест создания объявления (репозиторий возвращает None)","1","test_create_advert_failure","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Тест проверяет однократный вызов builder","2","test_get_all_adverts_calls_builder_once","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Тест проверяет вызов rollback при ошибке целостности","2","test_create_calls_rollback_on_integrity_error","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Негативный тест проверки создания объявления пользователем","2","test_is_created_false","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Негативный тест проверки создания объявления пользователем","1","test_is_created_false","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Тест проверяет передачу правильного user_id в builder","2","test_get_advert_by_user_calls_builder_with_correct_user_id","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Позитивный тест поиска по категории и ключевому слову","4","test_get_adverts_by_category_and_keyword_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест получения объявления по ID","4","test_get_by_id_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест полного обновления объявления","6","test_update_advert_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест поиска по ключевому слову","1","test_get_adverts_by_key_word","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест удаления объявления","1","test_delete_advert_success","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест поиска по ключевому слову","5","test_get_adverts_by_key_word_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест полного обновления","1","test_update_advert_success","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Тест проверяет вызов репозитория с правильными аргументами","1","test_create_advert_calls_repository","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceLondon","test_advert_service_london","",""
"Негативный тест удаления несуществующего объявления","1","test_delete_advert_not_found","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Негативный тест обновления несуществующего объявления","1","test_update_advert_not_found","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
